,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,22852.0,22852.0,22852.0,22852.0,22852.0,22852.0,22852.0,22852.0,22852.0,22852.0,22852.0,22852.0
mean,9.140400000000002e-10,457020.0,551.2678402096071,812.9863590464779,7890.288150161946,6571.255648043897,2.82292718360396,2795.082304319081,7989.114182535443,49836.031999980194,0.9592424999999586,-5214.521133352397
std,5.277558809399175e-10,263877.94046995795,7.263037569503131,1464.11841425187,93.0459319738835,86.57729179958658,35.0788941685907,12.138138867576412,92.45850771462712,1.980558997533145e-08,4.1412224924723106e-14,1455.2758968172136
min,0.0,0.0,344.98848,-99902.156,6847.4051,4112.3522,-1194.5797,2688.035,7135.1529,49836.032,0.9592425,-103674.23
25%,4.5702000000000004e-10,228510.0,546.4729425,-53.381994999999996,7828.232375,6514.0992750000005,-20.45428225,2787.035325,7927.828750000001,49836.032,0.9592425,-6084.1287250000005
50%,9.140400000000001e-10,457020.0,551.20674,817.6039949999999,7889.57455,6570.5273,2.8624923,2795.18485,7989.078799999999,49836.032,0.9592425,-5210.7899
75%,1.37106e-09,685530.0,556.025915,1698.854675,7951.559925,6627.973125,25.55041025,2803.1743,8050.067825,49836.032,0.9592425,-4330.306375
max,1.8280800000000002e-09,914040.0,580.52101,14248.669,8570.9666,6919.961,162.53497,2844.9547,9983.4169,49836.032,0.9592425,8532.5243
