,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0
mean,3.3554439999980914e-08,16777219.999990463,459.30071520916573,2345.5153384892615,6330.055863191934,5474.983663345106,-330.31362754575036,2540.4315332546503,6848.653183678611,44738.875,1.0685302000168633,-3248.589742699758
std,1.9372699607486806e-08,9686349.803743418,5.965087066464257,1313.9412354700248,78.73799036460716,71.10538514751724,32.38693287294475,12.618956960924246,76.42294138318167,0.0,1.686318757226317e-11,1311.921181977013
min,0.0,0.0,344.87842,-3888.4193,4960.4857,4111.0402,-477.7887,2483.9362,5427.9798,44738.875,1.0685302,-9442.7352
25%,1.6777220000000003e-08,8388610.0,455.26145,1458.110625,6276.835425,5426.8346,-352.226155,2531.8894250000003,6796.877724999999,44738.875,1.0685302,-4133.807175
50%,3.3554440000000005e-08,16777220.0,459.265545,2347.62565,6329.7171,5474.564350000001,-330.565375,2540.4124,6848.2752,44738.875,1.0685302,-3246.53585
75%,5.033166e-08,25165830.0,463.3155025,3230.6069,6382.89775,5522.840999999999,-308.604115,2548.9789,6900.0442,44738.875,1.0685302,-2364.946875
max,6.7108864e-08,33554432.0,490.12592,16010.47,6702.8874,5842.4281,-167.40745,2597.905,7215.7287,44738.875,1.0685302,11809.984
