,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,175867.0,175867.0,175867.0,175867.0,175867.0,175867.0,175867.0,175867.0,175867.0,175867.0,175867.0,175867.0
mean,1.7586599999999995e-10,87933.0,385.8679640867167,-229.1402809376766,5563.986635980577,4599.646222062261,-265.02387753785814,2749.522104124699,6000.133819459014,47832.14700011856,0.9994290999981652,-4624.935031377386
std,1.0153714846629593e-10,50768.57423314807,5.020169230391703,1152.7298620534968,65.458285437428,59.84171945764322,27.449456190751878,9.927890539539634,65.01842272073628,1.1856206640237468e-07,1.8347597868305908e-12,1151.4460353394654
min,0.0,0.0,363.05866,-5241.7755,5296.3236,4327.7534,-383.24281,2711.971,5712.6015,47832.147,0.9994291,-9613.3817
25%,8.7933e-11,43966.5,382.486165,-1003.1516,5519.7127,4559.334349999999,-283.604915,2742.7902,5956.0217,47832.147,0.9994291,-5398.72625
50%,1.7586600000000003e-10,87933.0,385.84105,-224.31642,5563.9017,4599.3254,-265.08046,2749.1811,5999.9757,47832.147,0.9994291,-4620.1939
75%,2.6379900000000005e-10,131899.5,389.235325,548.8952449999999,5607.9443,4639.786050000001,-246.575425,2755.8977,6043.945250000001,47832.147,0.9994291,-3848.8848
max,3.5173200000000005e-10,175866.0,406.8099,5213.9761,5840.1645,4849.2795,-126.87818,2791.245,6303.4343,47832.147,0.9994291,842.10928
