,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0
mean,6.676000000000001e-11,33380.0,349.1568186287433,708.1442052286719,4834.311392455087,4162.0398477844265,-470.1236431017963,2495.5299175449136,5539.6460383832255,44738.875,1.06853019999999,-3544.450814719755
std,3.857854325917455e-11,19289.27162958726,4.511931569358284,1195.840734579986,59.33246455565079,53.78339396507552,25.7367222795011,9.334739098111525,59.2563835023422,0.0,9.995000184767256e-15,1196.0491837001925
min,0.0,0.0,333.56409,-3052.575,4632.2556,3976.1705,-562.19986,2466.0984,5329.1459,44738.875,1.0685302,-7366.0388
25%,3.3380000000000005e-11,16690.0,346.1263575,-70.15815075,4794.2699250000005,4125.915975,-487.0471525,2488.989375,5501.509550000001,44738.875,1.0685302,-4324.960175
50%,6.676000000000001e-11,33380.0,349.04548,693.78742,4836.14915,4160.7127,-470.23760500000003,2495.5580499999996,5540.5157500000005,44738.875,1.0685302,-3567.96845
75%,1.0014e-10,50070.0,352.29986499999995,1436.6611,4875.198625,4199.50575,-453.6365975,2501.7641000000003,5579.5576,44738.875,1.0685302,-2818.081725
max,1.3352000000000002e-10,66760.0,366.375,16008.92,5031.9253,4367.2851,-236.44305,2529.618,5740.589,44738.875,1.0685302,11809.984
