,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0
mean,3.3554439999980914e-08,16777219.999990463,496.1907327652752,-189.71591779838474,7299.820076899523,5914.722241465142,56.02299792710077,2778.034932254535,7340.056552986193,52171.08000108465,0.9163091799809201,-5372.192852465585
std,1.9372699607486806e-08,9686349.803743418,6.439821535723272,1189.9029022414884,83.7863087423047,76.76434316559087,31.19424232247709,11.148387837080689,82.95249469160247,1.084649475907288e-06,1.9079860184468098e-11,1187.7019689305573
min,0.0,0.0,344.92616,-143945.47,6896.7466,4111.6093,-1422.9202,2669.8212,6943.537,52171.08,0.91630918,-147548.06
25%,1.6777220000000003e-08,8388610.0,491.8355025,-986.25336,7243.3297,5862.806725,34.84915875,2770.4973,7284.15315,52171.08,0.91630918,-6166.840475
50%,3.3554440000000005e-08,16777220.0,496.16086,-188.554345,7299.46365,5914.36615,55.770217,2777.9840000000004,7339.81675,52171.08,0.91630918,-5372.0077
75%,5.033166e-08,25165830.0,500.5122225,608.87978,7356.012975,5966.2355,76.89112424999999,2785.532275,7395.638774999999,52171.08,0.91630918,-4574.492275
max,6.7108864e-08,33554432.0,636.59942,21611.022,12862.123,7588.4302,455.50544,2831.4889,14499.657,52171.08,0.91630918,15702.604
