,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0
mean,3.3554439999980914e-08,16777219.999990463,551.1622510553085,2265.7000229853684,7692.127881711868,6569.99699845309,-137.4420062593701,2571.7885053655773,7964.842411247722,46656.0,1.024623599984891,-4171.40389713857
std,1.9372699607486806e-08,9686349.803743418,7.168829082652553,1385.4780637136405,93.68386095951925,85.4543021036759,35.28528885419535,12.793576803871224,91.00860826830278,0.0,1.510903414779969e-11,1382.824114801861
min,0.0,0.0,344.98655,-31286.789,5300.5813,4112.3292,-692.45536,2484.5995,6220.7913,46656.0,1.0246236,-35315.937
25%,1.6777220000000003e-08,8388610.0,546.3134024999999,1332.540125,7628.727975,6512.19745,-161.39264,2563.1205,7903.445,46656.0,1.0246236,-5102.257125
50%,3.3554440000000005e-08,16777220.0,551.13199,2265.5225499999997,7691.7333,6569.6363,-137.745915,2571.7505,7964.53405,46656.0,1.0246236,-4171.0219
75%,5.033166e-08,25165830.0,555.9718175,3200.879725,7755.16615,6627.328275,-113.82473,2580.4089750000003,8025.829725,46656.0,1.0246236,-3238.1341
max,6.7108864e-08,33554432.0,585.50792,8916.795,8150.4679,6979.4063,39.248672,2631.1978,8399.7818,46656.0,1.0246236,2552.613
