,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0
mean,1.206e-10,60300.0,385.8584231067636,1168.8259256309345,5322.13786276526,4599.532491810343,-427.2367441047746,2514.9585711870036,5964.641116080907,44738.875,1.0685302000000512,-3530.7804408534535
std,6.966308252343314e-11,34831.54126171661,5.033705017192043,1215.7073766318165,64.06583020843132,60.003069261421786,26.973921966784648,8.665140558983106,64.43347021285615,0.0,5.107872779364499e-14,1216.3364998018515
min,0.0,0.0,344.79326,-2650.3152,4960.4857,4110.0251,-515.73257,2479.0477,5427.9798,44738.875,1.0685302,-7295.4955
25%,6.03e-11,30150.0,382.6146625,375.6089925,5280.0226,4560.866025,-445.08708,2509.2139500000003,5920.991825,44738.875,1.0685302,-4319.74345
50%,1.2060000000000003e-10,60300.0,385.86412,1166.4686000000002,5321.686449999999,4599.600399999999,-427.149295,2514.79415,5965.2631,44738.875,1.0685302,-3539.7347
75%,1.8090000000000002e-10,90450.0,389.2042925,1962.8359249999999,5365.8879,4639.41615,-409.035895,2520.686425,6008.977975,44738.875,1.0685302,-2720.965825
max,2.412e-10,120600.0,402.07935,16009.433,5556.2749,4792.8902,-236.44305,2547.2122,6195.9842,44738.875,1.0685302,11809.984
