,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0
mean,3.3554439999980914e-08,16777219.999990463,551.3371770458554,-155.77375205866943,8137.8323849050175,6572.082161696085,195.72190653061347,2783.2839837897973,8010.706867270709,54435.629999582794,0.8781902600000677,-5674.67449213508
std,1.9372699607486806e-08,9686349.803743418,7.172375881422901,1208.5103726685395,93.34497624668849,85.496580962973,32.69153910547172,11.0754566982247,92.38449405363083,4.172036582697545e-07,6.772364486852678e-14,1206.0574466560474
min,0.0,0.0,344.99446,-182453.37,7705.6608,4112.4234,-1566.8257,2652.8769,7598.614,54435.63,0.87819026,-185906.77
25%,1.6777220000000003e-08,8388610.0,546.4864725,-959.2234149999999,8075.163175,6514.260525,173.594435,2775.813525,7948.77635,54435.63,0.87819026,-6476.7456
50%,3.3554440000000005e-08,16777220.0,551.306745,-154.73176999999998,8137.41485,6571.7194,195.46873,2783.2692500000003,8010.19495,54435.63,0.87819026,-5673.8699
75%,5.033166e-08,25165830.0,556.1484925,651.03511,8200.225699999999,6629.4343,217.5599725,2790.73605,8072.2416,54435.63,0.87819026,-4869.5963
max,6.7108864e-08,33554432.0,814.7993,24145.611,18378.943,9712.619,718.54645,2836.1672,20157.368,54435.63,0.87819026,17087.567
