Omega,C_real,C_imag
0.0,16.54626167285917,0.0
0.4681336737537257,16.547328700542604,-0.0009520539815977513
0.9362673475074514,16.54699798117036,-0.002976497045608946
1.404401021261177,16.54743279044486,-0.001729082618490083
1.8725346950149029,16.552723279059702,-0.0010431824338769748
2.3406683687686285,16.559127897769365,-0.005165738136214766
2.808802042522354,16.564177048540433,-0.004229879360476747
3.27693571627608,16.601369246002296,-0.012596831344749636
3.7450693900298058,16.607271542885936,-0.10042227622229563
4.213203063783531,16.49094067197994,-0.12685598297721376
4.681336737537257,16.459545250643618,-0.02467043744449757
5.149470411290983,16.519636148763123,-0.008663516753737706
5.617604085044708,16.514710224830544,-0.030349859470339347
6.085737758798436,16.50833645551254,-0.014090012474069843
6.787938269429023,16.527261328155582,-0.003946006676845213
7.4901387800596115,16.54902269941719,-0.0026945761605392166
8.1923392906902,16.566145817202187,-0.03648969414725713
9.128606638197653,16.56180843634882,-0.05136021706030715
10.064873985705102,16.500019166189155,-0.06472531586803856
11.235208170089416,16.531480088506157,-0.05356333896249019
12.405542354473733,16.4976922769164,-0.06272971390190422
13.575876538858045,16.543082125562115,-0.03700978334882268
14.980277560119225,16.50532090257112,-0.03496598339830863
16.618745418257262,16.57545176790692,-0.050193401518571316
18.49128011327217,16.525735982297654,-0.05004655108251018
20.36381480828707,16.604585734160906,-0.13176969392776944
22.470416340178833,16.526573666196924,-0.06683448075819898
24.811084708947465,16.59301316775548,-0.16371505190116625
27.15175307771609,16.53559597764919,-0.24345130914490565
29.960555120238443,16.405437387487016,-0.22040399021870571
33.00342399963766,16.456886739620835,-0.14209424079673796
36.28035971591375,16.398183874369998,-0.13144041962464442
40.025429105943545,16.529746109270796,-0.16767715961294172
44.23863216972708,16.325755900500855,-0.17724246469146712
48.919968907264334,16.367147208448742,-0.12446116603431479
53.835372481678455,16.444409684906596,-0.10326532520875252
59.2189097298463,16.42039558183315,-0.15129165234489905
65.07058065176787,16.38202059278433,-0.22381199095010326
71.62445208432003,16.367297022062928,-0.1671552405194171
78.88052402750279,16.351306267945006,-0.16752841049022532
86.83879648131614,16.371001668230903,-0.19335026155117954
95.73333628263693,16.294888749374117,-0.1273405629195263
105.56414343146513,16.363475666866908,-0.1782951536357937
116.33121792780084,16.330703037588158,-0.16426042734351753
128.034559771644,16.27030824247115,-0.21046218002678588
140.90823579987142,16.22264494732551,-0.1470062183760701
155.1863128493601,16.32230355639005,-0.15342990708618154
170.8687909201099,16.23997764556526,-0.16709868259775348
187.9556700121209,16.278478163878823,-0.12446428791008675
206.9150837991468,16.225506839250148,-0.185750259483999
227.74703228118756,16.234200249313826,-0.1429757661184603
250.68558229512013,16.25698483640875,-0.1525828722237101
275.9648006778213,16.208642844437225,-0.16261345297784052
303.81875426616796,16.255023500974815,-0.14387418521605932
334.48150989703703,16.181813852153745,-0.18969470211691336
368.1871344073053,16.192122153849425,-0.17951518437676225
405.40376147072647,16.197554756132483,-0.18308120906867678
446.36545792417746,16.132009727511043,-0.17381143417147907
491.30629060453515,16.16084593643046,-0.1643971291029217
540.6943931855532,16.129039891761362,-0.1476062007484564
595.2319661778622,16.146227912366257,-0.16787148068259716
655.1530764183392,16.129359707403953,-0.1433957334619092
721.1599244176144,16.118334271530834,-0.1953166019512139
793.9547106863189,16.07923945342976,-0.14965654063688352
874.0055688982059,16.08064600562501,-0.16179170207821583
962.0146995639061,16.065926479607363,-0.1398592430530122
1058.9183700309275,16.071736347482144,-0.12184072471005761
1165.652847646777,16.08572885805933,-0.14667961731141524
1282.9203329220852,16.06681487432403,-0.1389755252368667
1412.1252268781136,16.033450003215982,-0.1505447784068013
1554.4378636992465,16.056181169310257,-0.12873129719263923
1711.0285775698676,16.054877525004397,-0.14306386306806046
1883.3017695112383,16.042588724245345,-0.14721911933063733
2072.8959073814976,16.02325796091387,-0.13586909671961814
2281.6835258756596,16.024989506973846,-0.1397870323544157
2511.537159688738,16.025482344670344,-0.14579679302412904
2764.5634103526277,16.01439728720528,-0.14517927376459988
3042.8688793992173,16.013016829096625,-0.15134728366670225
3349.262368871031,16.00451502420764,-0.1562655224860878
3686.7867476474667,16.00558207750196,-0.1573325419174838
4058.2508177710483,15.990957428482902,-0.1720481869030709
4466.931514958051,15.997795651172778,-0.15699305958073015
4916.573908598504,15.996379744222752,-0.18984127353836142
5411.625268593069,15.978174327585139,-0.18434541526129677
5956.766931679283,15.991449121683003,-0.2078620984258567
6556.446167757806,15.963321002548225,-0.2068117365163186
7216.51464775056,15.954778289387225,-0.22319487979926192
7943.292176253218,15.972830938209862,-0.2272797459182331
8743.332624698336,15.950608794150291,-0.2501437867549412
9623.892065029093,15.944900242399408,-0.2584521317731893
10592.928769699307,15.950374863756322,-0.28637538431607795
11659.57134534717,15.940222349505708,-0.30269265705176024
12833.650599121514,15.925773571551112,-0.3126120312112225
14125.933605518672,15.927645588226179,-0.35451056663205466
15548.591840056244,15.918069031848232,-0.36423395685832366
17114.26491192558,15.906420280409321,-0.41200041940985
18837.464965013045,15.908778531413585,-0.4342882168667041
20734.342611063144,15.873611968348724,-0.48015264844638833
22822.218796004763,15.87748265033692,-0.5001151330576873
25120.521067298676,15.873571705396822,-0.5402001869968427
27650.081373426932,15.855045320803066,-0.5957539483089632
30434.306398077213,15.82824918730058,-0.6236020572263319
33498.94349330598,15.83345279025816,-0.7020471655464815
36872.080679538456,15.803547435546182,-0.7576009575801886
40584.84884607926,15.778956984670343,-0.8055954634626112
44671.65581794927,15.778599420705048,-0.8835787836160849
