,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,271772.0,271772.0,271772.0,271772.0,271772.0,271772.0,271772.0,271772.0,271772.0,271772.0,271772.0,271772.0
mean,1.0870840000000002e-08,5435420.0,496.16738181332056,-65.87269043817582,7261.335775245311,5914.443892116616,25.418044720118218,2779.76090321444,7337.144471533625,51478.84799971696,0.9286307200030735,-5317.7908283607785
std,6.276317041322887e-09,3138158.5206666747,6.467590657659545,1220.4950930063112,84.32659807015658,77.0953583701364,31.438538613315977,11.287216245540606,83.47670776047057,2.830352719141281e-07,3.0734360535134e-12,1217.9355700819624
min,0.0,0.0,344.92529,-131381.55,6897.782,4111.5989,-1364.8808,2675.0906,6995.6901,51478.848,0.92863072,-135032.58
25%,5.43542e-09,2717710.0,491.80915,-870.9193875,7204.698075,5862.492625,4.156401675,2772.1633,7281.088825,51478.848,0.92863072,-6120.88075
50%,1.087084e-08,5435420.0,496.143305,-65.295907,7260.9749,5914.156800000001,25.163048000000003,2779.72695,7336.727199999999,51478.848,0.92863072,-5315.6516
75%,1.630626e-08,8153130.0,500.5187125,736.54898,7317.913,5966.31285,46.45544875,2787.3338249999997,7392.86695,51478.848,0.92863072,-4515.552275
max,2.174168e-08,10870840.0,585.94656,19663.737,11435.373,6984.635,393.71806,2832.3673,13015.865,51478.848,0.92863072,13903.487
