,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,655684.0,655684.0,655684.0,655684.0,655684.0,655684.0,655684.0,655684.0,655684.0,655684.0,655684.0,655684.0
mean,2.622732e-08,13113660.0,551.0713685352157,3713.702077978211,7569.813812705079,6568.913655440224,-215.51453067460105,2567.5192991172125,7944.972490864076,44738.875,1.0685302000078067,-2998.134069190642
std,1.514238490313396e-08,7571192.451570231,7.1614471287466674,1438.0534765756613,94.27348652666456,85.3663073129149,36.47920697267222,13.404287193256454,91.00404460085231,0.0,7.806650173014832e-12,1435.3938734359026
min,0.0,0.0,344.98636,-3257.6014,4960.4857,4112.3269,-412.32953,2493.1373,5427.9798,44738.875,1.0685302,-10028.169
25%,1.3113660000000002e-08,6556830.0,546.2277675,2744.03005,7506.16355,6511.176675,-240.25408,2558.483,7883.3985,44738.875,1.0685302,-3965.87385
50%,2.6227320000000003e-08,13113660.0,551.050345,3715.0119999999997,7569.6018,6568.66305,-215.818435,2567.5078,7944.6586,44738.875,1.0685302,-2997.3575499999997
75%,3.934098e-08,19670490.0,555.8740124999999,4684.9132,7633.0771,6626.162425,-190.96133250000003,2576.5581,8006.209275,44738.875,1.0685302,-2028.6044000000002
max,5.2454640000000007e-08,26227320.0,584.08671,16011.785,7994.5442,6962.465,-40.604597,2630.6097,8361.0948,44738.875,1.0685302,11809.984
