Time,C_EE
0.0,0.9999980926513715
8e-05,0.36509880863765376
0.00016,0.26410220729165296
0.00024000000000000003,0.21912315113143604
0.00032,0.17184397713839933
0.0004,0.13038381114882683
0.00048000000000000007,0.10669866909628416
0.0005600000000000001,0.09547674122648683
0.00064,0.08580244933391042
0.00072,0.07888405971114602
0.0008,0.07403084402401904
0.0008800000000000001,0.06985448932546631
0.0009600000000000001,0.06717527122410097
0.00104,0.0642665639971816
0.00116,0.06308626502350079
0.00128,0.060271002818001955
0.0014000000000000002,0.06005492682136833
0.0015600000000000002,0.05923527191343893
0.0017200000000000002,0.057095352325467336
0.00192,0.05649607816321789
0.00212,0.05734326805987745
0.00232,0.05845080258103763
0.00256,0.058258711769276134
0.0028400000000000005,0.057348630063778855
0.00316,0.056890903990942446
0.0034800000000000005,0.05713088523754905
0.0038400000000000005,0.0550257367667905
0.004240000000000001,0.05394873435762617
0.00464,0.05412916399837736
0.0051199999999999996,0.05366841465738372
0.00564,0.05198300985009598
0.006200000000000001,0.05237397632210378
0.006840000000000001,0.05129569064657562
0.00756,0.051320634629679306
0.008360000000000001,0.0509199331425399
0.009200000000000002,0.05007297782839833
0.01012,0.04937260929027488
0.011120000000000001,0.05137190509882697
0.012240000000000003,0.04974945364001468
0.01348,0.04772555516209649
0.014839999999999999,0.049107431332152736
0.01636,0.04666837795178651
0.01804,0.04695136292299489
0.019880000000000002,0.04638321098583078
0.021880000000000004,0.04588197749695238
0.02408,0.04534179428537992
0.026520000000000002,0.045278446194923244
0.0292,0.04484465629920415
0.03212,0.044224339115748836
0.03536,0.044837033536157464
0.03892,0.0431570248011862
0.042839999999999996,0.04222591743313642
0.04716,0.04231860823808494
0.051919999999999994,0.041479856479790925
0.05716,0.04078850343753438
0.06292,0.03981044621286108
0.06928000000000001,0.03995572484124684
0.07627999999999999,0.037852569019272496
0.08395999999999999,0.03691366204593662
0.0924,0.03720285952516044
0.10171999999999999,0.03687494960467644
0.11196000000000002,0.03600915604787387
0.12323999999999999,0.03360572634764869
0.13568,0.03307880730817834
0.14936000000000002,0.031769040118184315
0.16440000000000002,0.031638328820776995
0.18096,0.029136069484901016
0.19920000000000007,0.028193534363688474
0.21924,0.027710694796738395
0.24131999999999998,0.026013545575726986
0.26564,0.02482730640902355
0.2924,0.024307870133226953
0.3218399999999999,0.023233472121634534
0.35423999999999983,0.02259831036124815
0.38992000000000004,0.021758619494915882
0.4292000000000001,0.022578802198370183
0.47244000000000014,0.021762538651794245
0.5200000000000001,0.02177374419120562
0.5723600000000002,0.020194067096896078
0.63004,0.018317397323087622
0.69352,0.016513562795604828
0.7633600000000001,0.014344166438410137
0.8402000000000002,0.013589456277153165
0.9248000000000001,0.012310718451986577
1.0179600000000002,0.010441835887732951
1.12044,0.007664211389502158
1.23324,0.005540786939243328
1.3574400000000013,0.005469717682200463
1.4941600000000002,0.002499660876277283
1.6446399999999992,-0.00029588081726145273
1.8102400000000003,-0.0007667922164169735
1.992520000000002,0.0005762767796573125
2.1931600000000007,-0.0032824186227050833
2.414000000000003,-0.008102393877498535
2.6571200000000013,-0.008010534725700109
2.924680000000009,-0.008018830656192808
3.2191599999999996,-0.00790596770677179
3.543319999999991,-0.008034757014710472
3.9001200000000154,-0.004886328062565633
4.292879999999979,-0.006123122082013442
4.725160000000005,-0.007170163955433289
5.200960000000002,-0.0043245551584777525
5.724680000000026,-0.0009874237075071111
6.301120000000006,-0.0006826591667585282
6.9355999999999955,0.0007154433076417771
7.634000000000033,-0.0007927296715986827
8.402719999999999,-0.0016805493687494877
9.248800000000012,-0.005959630559831758
10.180119999999995,-0.0037728672451994394
11.205200000000014,0.00045888002195743646
12.333479999999987,0.004683985568924345
13.575400000000016,0.002324199326991499
14.942400000000001,0.0005640107174802457
16.44704000000001,-0.00032613165338127135
18.103160000000006,-0.006260378183524086
19.926040000000004,-0.0015235365996628572
21.932479999999998,0.0077334029031404
24.14096,0.0010760384938836506
26.57184,-0.001430868714758507
29.247480000000003,-0.00018357732714313282
32.192519999999995,-0.0027868297513349463
35.43412,0.002256937613518964
39.00212,-0.00047887388015661756
