,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0
mean,3.3554439999980914e-08,16777219.999990463,349.1876500952071,-265.1502983016193,4958.785665149564,4162.407364945078,-376.9299941919983,2502.0668544983873,5547.4460790537405,46438.61100005856,1.0294201000090217,-4362.454566526618
std,1.9372699607486806e-08,9686349.803743418,4.541291124318156,1105.6109929451898,60.10960268569008,54.13336819191574,26.670264270833638,11.53673357404603,59.085757461001805,5.856421774351681e-08,9.021677675436863e-12,1104.2972374716444
min,0.0,0.0,327.26073,-26173.374,4632.6318,3901.0328,-647.60531,2438.9506,5246.9288,46438.611,1.0294201,-30218.624
25%,1.6777220000000003e-08,8388610.0,346.1189025,-1011.072375,4918.1886,4125.827125,-395.0313825,2494.254625,5507.5771,46438.611,1.0294201,-5107.276449999999
50%,3.3554440000000005e-08,16777220.0,349.17261,-263.526345,4958.5481,4162.2281,-377.090805,2502.005,5547.199,46438.611,1.0294201,-4361.128500000001
75%,5.033166e-08,25165830.0,352.2349675,480.462305,4999.170174999999,4198.732175,-359.0468125,2509.8038,5587.14995,46438.611,1.0294201,-3617.7380000000003
max,6.7108864e-08,33554432.0,370.83005,4695.9894,5274.2386,4420.3904,-251.43093,2556.9118,6072.3676,46438.611,1.0294201,518.00396
