,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,111092.0,111092.0,111092.0,111092.0,111092.0,111092.0,111092.0,111092.0,111092.0,111092.0,111092.0,111092.0
mean,4.4436399999999985e-09,2221820.0,551.2023341096592,559.6489182634015,7936.728270233789,6570.474798735216,38.49191941207507,2794.0977504878974,7992.387294837661,50653.0,0.9437711500023016,-5369.937914298239
std,2.565571391171943e-09,1282785.6955854548,7.172358051453347,1326.1314040135546,93.36135706421544,85.49636839814497,33.77972493446009,11.674548374203852,92.00567640215493,0.0,2.301613711417181e-12,1322.157438446372
min,0.0,0.0,344.98929,-115859.78,7358.5081,4112.3618,-1285.4903,2681.6008,7515.0869,50653.0,0.94377115,-119571.02
25%,2.22182e-09,1110910.0,546.3791225,-304.10353250000003,7873.45085,6512.980825000001,15.7281465,2786.177175,7930.1726,50653.0,0.94377115,-6230.689225
50%,4.443640000000001e-09,2221820.0,551.1980550000001,562.00825,7936.161099999999,6570.4238000000005,38.369502999999995,2794.0264500000003,7991.6749,50653.0,0.94377115,-5366.08775
75%,6.665460000000001e-09,3332730.0,555.996275,1423.01205,7999.476675,6627.619825,60.88318125,2801.9229,8053.917224999999,50653.0,0.94377115,-4506.027
max,8.88728e-09,4443640.0,582.68974,18095.818,9901.5378,6945.8129,334.41096,2843.9075,11403.713,50653.0,0.94377115,12166.042
