,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0
mean,3.3554439999980914e-08,16777219.999990463,495.99754794468146,2896.8294642051437,6825.992180510557,5912.419428249868,-284.5842885948582,2550.833784894705,7287.778410493923,44738.875,1.0685302000168633,-3144.22884742441
std,1.9372699607486806e-08,9686349.803743418,6.438399935664228,1366.359075690503,85.09371754072907,76.74739728942217,34.07735313330346,13.05672013036827,82.34277436277726,0.0,1.686318757226317e-11,1364.122022418732
min,0.0,0.0,344.92142,-3483.2617,4960.4857,4111.5528,-442.60073,2484.6465,5427.9798,44738.875,1.0685302,-9498.6512
25%,1.6777220000000003e-08,8388610.0,491.64896,1975.582875,6768.5433,5860.5831,-307.6678375,2542.0107,7232.17945,44738.875,1.0685302,-4063.67885
50%,3.3554440000000005e-08,16777220.0,495.96445,2896.9723,6825.802250000001,5912.0249,-284.78263000000004,2550.8168,7287.62355,44738.875,1.0685302,-3143.6214
75%,5.033166e-08,25165830.0,500.320755,3820.3702749999998,6883.089175,5963.95315,-261.733065,2559.6345,7342.9827749999995,44738.875,1.0685302,-2222.7038249999996
max,6.7108864e-08,33554432.0,526.16621,16010.994,7224.2323,6272.0378,-121.52241,2610.7254,7699.4467,44738.875,1.0685302,11809.984
