,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0
mean,3.3554439999980914e-08,16777219.999990463,404.24576047770177,1495.1915180909646,5580.508532572047,4818.7143221871875,-399.46120040390883,2518.135560755949,6191.9603539609,44738.875,1.0685302000168633,-3428.3655063187603
std,1.9372699607486806e-08,9686349.803743418,5.253023960242583,1231.240264899755,69.35884430596919,62.617408148248536,29.705302969775833,12.235809712882745,67.83488203170508,0.0,1.686318757226317e-11,1229.4965096072006
min,0.0,0.0,344.81443,-4491.2395,4960.4857,4110.2774,-538.16301,2462.7675,5427.9798,44738.875,1.0685302,-9241.56
25%,1.6777220000000003e-08,8388610.0,400.6926925,666.4555875000001,5533.523075,4776.360825,-419.5755325,2509.84335,6146.0138,44738.875,1.0685302,-4256.701800000001
50%,3.3554440000000005e-08,16777220.0,404.22637999999995,1494.3436,5580.29485,4818.4833,-399.63512000000003,2518.0951,6191.66795,44738.875,1.0685302,-3428.9432
75%,5.033166e-08,25165830.0,407.77788,2325.689525,5627.1407,4860.818075,-379.53414250000003,2526.3819750000002,6237.619625,44738.875,1.0685302,-2598.80685
max,6.7108864e-08,33554432.0,429.21739,16009.691,5902.5599,5116.3826,-236.44305,2576.6558,6511.6569,44738.875,1.0685302,11809.984
