Omega,C_real,C_imag
0.0,13.269479896783519,0.0
13.10279921418803,13.286257286282616,-0.0034444544767074452
26.20559842837606,13.323810493345848,-0.06733284792298835
39.30839764256409,13.221618485503884,-0.14142130956737833
52.41119685675212,13.21109324190894,-0.022436877864035712
65.51399607094015,13.278579258474103,-0.11882285003119444
78.61679528512818,13.18626310639169,-0.050354907252509906
91.7195944993162,13.356651006365462,-0.050142565327361936
104.82239371350424,13.406649689675932,-0.1569928743882063
117.92519292769227,13.452731880584613,-0.4898220283152106
131.0279921418803,12.858275030307002,-0.5699717969926336
144.13079135606833,12.89663923897816,-0.037086381349788866
157.23359057025635,13.092337853149623,-0.16413571843859578
170.3363897844444,13.000706386745836,-0.07083482937505702
189.99058860572643,13.241696394643213,-0.04309986381105299
209.64478742700848,13.26675802805263,-0.42337972504557064
229.29898624829053,12.930384965331058,-0.20138246424040124
255.50458467666658,13.08914041102991,-0.07310643581272028
281.7101831050427,13.191370988118187,-0.005230891780724946
314.46718114051276,13.408270863998618,-0.12599072152443055
347.22417917598284,13.375080049038882,-0.6050215127812333
379.98117721145286,13.150113283742826,-0.25654511386895523
419.28957485401696,13.381871196057563,-0.9356892823197127
465.14937210367503,12.799073145226274,-0.4378885084081512
517.5605689604272,12.853232775984601,-0.612604967857384
569.9717658171792,12.961297481453585,-0.40555040210000115
628.9343622810254,12.749444781071453,-0.24569875438498717
694.4483583519656,13.090091282958998,-0.24932029789554788
759.9623544229057,12.912986123345014,-0.5982421737244635
838.5791497080338,13.125902557798463,-0.22323157105720617
923.747344600256,13.080481468268147,-0.7883995520871929
1015.4669390995723,12.875982152007735,-0.4168547423024961
1120.2893328130765,13.624086367961073,-0.7559476092128229
1238.2145257407687,12.529321896425888,-0.8139325445890306
1369.2425178826493,12.798048918393242,-0.5833153663401286
1506.8219096316234,13.064463008631753,-0.8807122153239547
1657.5041005947858,12.73031956092655,-1.2079078449624956
1821.2890907721364,12.573446308050022,-0.3396632375343408
2004.728279770769,13.645223824794575,-0.6934870523565408
2207.8216675906824,12.868230030988292,-1.2720551217898008
2430.5692542318793,13.477245738643358,-1.587749038691074
2679.5224393014523,13.089040675322497,-1.8349096968889087
2954.6812227994005,12.59859163299991,-2.227017386640984
3256.0456047257253,12.196134449112103,-1.571722466950333
3583.615585080426,12.962980162975697,-2.439596306751975
3943.9425634705967,11.653582231710406,-2.455142167851038
4343.577939503331,11.903218058467017,-2.5948468712940485
4782.52171317863,11.470659704672789,-2.64370934775054
5260.773884496494,11.285704685590861,-3.014587243780096
5791.4372526711095,10.781660458890084,-2.132619204400155
6374.511817702477,11.180543356246265,-1.759950961840559
7016.548979197688,11.677897031902265,-2.6514864288338718
7724.100136763844,10.484828852213793,-3.2594705121250502
8503.716690008032,10.36004447936185,-2.2037737985656025
9361.950038537345,10.766550122622824,-2.540959545298626
10305.351581958885,10.641308545738013,-2.9183445234427032
11347.024119486836,9.871767161930554,-3.2697860169082205
12493.519050728284,8.994851629555793,-3.3310272140931496
13751.387775290334,9.002548312064071,-2.4343694947217216
15133.733092387167,8.825831571364153,-2.167339805706913
16660.20920084008,9.692300563177596,-2.492500798258247
18337.367500256143,8.74611344768168,-2.6749060934033877
20184.862189456657,8.491471731694421,-2.8820006899461625
22222.347467262898,7.948747652390586,-2.472545298138455
24462.92613288905,8.277290063384374,-2.0717250689778117
26926.2523851564,8.145745827729943,-2.2438421087548543
29638.53182249332,7.826861033676267,-2.4983996694845825
32625.970043328194,7.550382432646128,-1.9452534915067354
35908.221246482295,7.462108376150722,-1.7987812989999958
39524.5938295982,7.384227847538904,-1.7107234894629813
43507.84479071135,7.478254633315377,-1.5556509024085137
47890.73112785725,7.249821105566827,-1.4277004792416361
52712.56123867844,7.42143782578896,-1.488139029722001
58019.19492042459,7.250943235380541,-1.439600515311882
63863.04336995245,7.229002403476428,-1.3695664944440182
70296.51778411878,7.114182705795272,-1.313918562608549
77378.58075938739,7.109756675504155,-1.2532247437378234
85168.19489222219,7.104736356612985,-1.2423158993574477
93743.97697790826,6.933027410116694,-1.2069965875893278
103191.09521133784,6.895637586623427,-1.1343136815666843
113588.16638779602,6.886793802596734,-0.9672737862349562
125026.91010178218,6.846516707115784,-1.008766669762864
137612.14874700978,6.839032755000927,-0.9096114174100262
151468.3589160136,6.919417241790209,-0.7392217678009383
166726.56860093557,7.2052021805779285,-0.7798256679505542
183511.25439431044,7.319056095684929,-1.126797042216069
201986.2012863156,7.032767525368966,-1.335762182727036
222328.2970663425,6.834698640873051,-1.056575465540327
244720.9809233898,7.300351919090227,-1.0502883890057975
269367.34624527756,7.158007463772294,-1.5018851447163657
296490.14061864675,7.389896956485995,-1.6148778047390622
326344.8686281742,6.647738645140988,-1.7515407388032815
359206.6890573577,7.408218012045183,-1.8763765603830769
395376.9662881238,6.576749847833568,-2.1087525327987167
435196.37310004124,7.357637132841927,-1.1369486644370055
479018.6850718931,8.283469253793504,-3.9919342797491626
527250.0889793192,5.723195966050369,-3.235367385777379
580342.6313952091,6.012150378351665,-3.6308832547392127
638781.1158904877,6.803439081004913,-2.0150816944870575
703109.3086325439,8.739128756438731,-4.901435611097752
773910.2841864089,4.5529928694413,-7.26297709011125
851839.1825127922,2.895784193970502,-7.961399455525385
937616.6575684742,0.6205844196136888,-2.703927058174461
1032028.877306306,1.7038683608389962,-3.0648336635923896
1135947.177874031,2.4928530373540663,-3.404354000111815
1250334.6150138928,3.165157763732246,-3.4878346792378605
1376239.4126630253,-1.7797820516780272,-4.054426661567778
1514814.617152278,0.10491882709644425,-0.15913250849133712
1667350.8542042482,1.3004915461627036,-0.04617890616873589
1835243.5719352462,1.8885481452038908,-0.04393121276869333
2020038.9006525471,2.3359032649877456,-0.07560479194886145
2223446.755653602,3.0365697040627677,-0.1468723109237179
2447340.8372260397,2.412440787391399,-3.401618767453969
2693778.2848464884,0.5637723888556981,-0.07648946566982218
2965025.882779002,1.3976576125237792,-0.0031944226166124323
