,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,35023.0,35023.0,35023.0,35023.0,35023.0,35023.0,35023.0,35023.0,35023.0,35023.0,35023.0,35023.0
mean,1.4008800000000002e-09,700440.0,642.802161640916,4986.05840529235,8798.791800416824,7662.368503049416,-100.69373955856932,2588.011686283323,9036.807315766802,44738.875,1.0685301999991357,-2843.0233258418634
std,8.088330860360927e-10,404416.5430180455,8.57924861133574,1548.8679669665285,113.96129700876355,102.26686875286836,40.30050226397977,14.179999224412132,108.02540134280432,0.0,8.644319879798928e-13,1546.5628919280014
min,0.0,0.0,345.0956,-2024.3625,4960.4857,4113.6291,-352.48031,2494.577,5427.9798,44738.875,1.0685302,-8950.5341
25%,7.004400000000001e-10,350220.0,637.21255,3945.4579999999996,8724.0428,7595.7389,-127.786045,2578.6318499999998,8965.60865,44738.875,1.0685302,-3891.7517
50%,1.40088e-09,700440.0,642.80431,4984.5687,8798.3464,7662.3941,-100.676,2588.0022,9036.2182,44738.875,1.0685302,-2846.92
75%,2.1013200000000003e-09,1050660.0,648.436515,6034.3336500000005,8873.64105,7729.5315,-73.947543,2597.56935,9107.270199999999,44738.875,1.0685302,-1797.1925999999999
max,2.80176e-09,1400880.0,681.13778,16013.115,9213.7129,8119.339,56.941304,2642.7078,9531.7553,44738.875,1.0685302,11809.984
