,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0
mean,3.3554439999980914e-08,16777219.999990463,385.93458415141754,-256.0884213716805,5561.93488350637,4600.440350562225,-259.2962777782568,2747.699427833721,5995.116060622963,47832.14700007065,0.9994290999893999,-4652.64210517057
std,1.9372699607486806e-08,9686349.803743418,5.014514766463216,1132.1905733706408,65.84745414540274,59.77431671540623,27.87786682621117,11.311617176464196,64.93927998149432,7.064959054411085e-08,1.0600082690348085e-11,1130.5962922552053
min,0.0,0.0,344.79396,-57964.248,5250.2402,4110.0334,-909.63464,2700.0448,5680.3594,47832.147,0.9994291,-61892.129
25%,1.6777220000000003e-08,8388610.0,382.54589,-1018.9024,5517.3398,4560.046225,-278.2131525,2740.020325,5951.151449999999,47832.147,0.9994291,-5413.8970500000005
50%,3.3554440000000005e-08,16777220.0,385.91842499999996,-257.49006499999996,5561.673650000001,4600.2477,-259.47646999999995,2747.6151,5994.8379,47832.147,0.9994291,-4653.724899999999
75%,5.033166e-08,25165830.0,389.306105,506.08292500000005,5606.2881,4640.62975,-240.59998249999998,2755.3136750000003,6038.723825,47832.147,0.9994291,-3891.4781249999996
max,6.7108864e-08,33554432.0,410.19126,8363.1385,6141.3124,4889.5862,-116.15459,2801.8137,7272.0461,47832.147,0.9994291,3911.7682
