Temperature,Pressure,Density,Box_Length,Number_Density,Diffusion_Coefficient,directory
380.0,-268.26985104994986,1.0294201000961003,35.944,0.0026917256701008666,0.3401659107935364,T380_L35.944_c0
400.0,803.4792352450494,1.0685302000168633,35.5,0.002793990684835057,0.10144860036903176,T400_L35.5
420.0,-256.0884213716805,0.9994290999894,36.3,0.0026133052317304515,2.064090990962313,T420_L36.300
440.0,1495.1915180909646,1.0685302000168633,35.5,0.002793990684835057,0.29172364539751167,T440_L35.5
450.0,1611.0000646449455,1.0685302000168633,35.5,0.002793990684835057,0.3333850721880374,T450_L35.5
460.0,-230.72989394186737,0.9706713199918656,36.655,0.002538109423065433,5.374523497872423,T460_L36.655
480.0,2076.502698705083,1.0685301999955088,35.5,0.002793990684835057,0.6555798990732958,T480_L35.5
480.0,-217.12313978239453,0.9566665500097128,36.833,0.0025014897861795654,6.534983402217204,T480_L36.833
500.0,2345.5153384892615,1.0685302000168633,35.5,0.002793990684835057,0.7181874332629642,T500_L35.5
500.0,-208.44640671476952,0.9430063399866024,37.01,0.0024657710976347938,8.477183178989813,T500_L37.010
540.0,2896.8294642051437,1.0685302000168633,35.5,0.002793990684835057,1.3151541726280003,T540_L35.5
540.0,-65.87269043817582,0.9286307200030736,37.2,0.0024281817650620304,12.91690987867274,T540_L37.200
540.0,-189.7159177983847,0.91630917998092,37.366,0.0023959634275393655,13.994495983662604,T540_L37.366
600.0,5805.371428809295,1.114981699996524,35.0,0.0029154518950437317,0.543617006661165,T600_L35.000
600.0,3713.702077978211,1.0685302000078067,35.5,0.002793990684835057,2.3168771624402655,T600_L35.5
600.0,2265.7000229853684,1.024623599984891,36.0,0.002679183813443073,5.214391085981903,T600_L36.000
600.0,1414.759566703303,0.9912146600009272,36.4,0.002591826118574096,8.602677857977428,T600_L36.400
600.0,812.9863590464779,0.9592424999999586,36.8,0.0025082253739623574,14.345608216086598,T600_L36.800
600.0,559.6489182634015,0.9437711500023016,37.0,0.0024677709118907072,13.801551049245077,T600_L37.000
600.0,355.93550837768566,0.928630720006412,37.2,0.0024281817650620304,15.689510280143724,T600_L37.200
600.0,27.048232575355613,0.8993077400050639,37.6,0.002351508095508702,17.15015317807754,T600_L37.600
600.0,-155.77375205866943,0.8781902600000677,37.899,0.0022962901369390017,22.779441905083235,T600_L37.899
700.0,4986.05840529235,1.0685301999991357,35.5,0.002793990684835057,6.013452919279906,T700_L35.5
