,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,717124.0,717124.0,717124.0,717124.0,717124.0,717124.0,717124.0,717124.0,717124.0,717124.0,717124.0,717124.0
mean,2.8684919999999996e-08,14342460.0,550.9877083031104,5805.371428809295,7457.281280637287,6567.916403699539,-275.18787082435574,2558.9306687050757,7920.608214670643,42875.0,1.114981699996524,-1197.1804491779794
std,1.656128092469469e-08,8280640.462350371,7.166092056113972,1500.0594850052673,94.70801844162061,85.42167616150526,37.622056870182895,14.246705870575518,90.78588181707657,0.0,3.4758886689893653e-12,1497.5280934104762
min,0.0,0.0,344.98698,-3701.3868,5806.1998,4112.3343,-502.98094,2488.646,5834.2678,42875.0,1.1149817,-9893.1336
25%,1.4342460000000001e-08,7171230.0,546.1433675000001,4795.530425,7393.26615,6510.17065,-300.653355,2549.4252,7859.1208750000005,42875.0,1.1149817,-2205.0857499999997
50%,2.8684920000000003e-08,14342460.0,550.955825,5801.8760999999995,7456.879199999999,6567.5363,-275.477975,2558.9425499999998,7920.2697499999995,42875.0,1.1149817,-1199.73855
75%,4.302738e-08,21513690.0,555.7998825,6815.5343250000005,7520.882625,6625.2787499999995,-249.9629925,2568.4982,7981.60975,42875.0,1.1149817,-189.070475
max,5.7369840000000005e-08,28684920.0,585.08595,67282.878,7922.8465,6974.3763,363.33685,2626.7193,8435.708,42875.0,1.1149817,62898.408
