Temperature,Pressure,Volume,Enthalpy,c_p,kappa_T,alpha_T
159.99852458195343,138295.18697867382,0.00020776687285877095,2.9319660485424166e-17,896.662998804232,1.7356447207040268e-10,0.00023275919908196307
179.99930153028438,88224.92204912982,0.0002086938949972131,3.2830468534776876e-17,898.3756305171819,1.8162347959031495e-10,0.00024403521755006998
200.00046438271815,131395.77738827595,0.00020889143087769046,3.629190020599091e-17,898.0985652756115,1.9482455690001878e-10,0.00025796572512572116
239.99932687965918,124409.79746359136,0.00021114414198705828,4.337908045641877e-17,901.151038159741,2.1974835755391725e-10,0.0002855206375545401
260.0002059841575,73493.50011394224,0.00021212723560005086,4.682258456824832e-17,905.6977478945338,2.361463139758877e-10,0.0002837468475510615
280.0046520340962,110423.32506833247,0.00021268713733632358,5.027178937293026e-17,915.807026928487,2.553806498852701e-10,0.00030138935775721805
299.99451239050995,33289.192544578014,0.0002138522419143627,5.372895146690763e-17,915.1221091318591,2.559161106316803e-10,0.0003157419184450706
320.0039364832688,53459.82379936117,0.00021526621798348557,5.737151703723223e-17,950.3085949038573,3.551570854380428e-10,0.0005150306790148181
340.00357384303004,42129.99848432206,0.0002171773726205403,6.107382496986805e-17,977.1197936548135,4.051131484129061e-10,0.0006280595953504766
359.9998594105293,116212.67252755744,0.0002204245821712908,6.502398240102916e-17,1005.4607841950354,5.014989847358354e-10,0.0007767200673547389
379.99541297726194,36551.803899733735,0.00022374769905028055,6.895678573199469e-17,998.6707771754535,5.494047224804328e-10,0.0007722400488287098
400.00075680886675,64940.41282418186,0.00022706725740420726,7.286190022948873e-17,993.4648248902431,6.085678429431245e-10,0.0007765573348732508
420.00199578839056,17342.217955446326,0.00023038439558787396,7.673660434705927e-17,986.721467630395,6.592734350299366e-10,0.0007643539780213167
440.0043979973476,72806.14913051936,0.0002338755375786348,8.061343262683804e-17,979.6681827574951,7.179580222922003e-10,0.0007613590359430109
460.00381374577955,75485.70445757441,0.0002373230116119304,8.445474567097078e-17,975.8667627605003,7.889456111164149e-10,0.0007599074761826576
480.01485789918826,324137.04467729386,0.00024069346902008958,8.828124227777902e-17,971.4265401599038,8.277130992911474e-10,0.0007346862961086923
519.9865461865795,129951.93402737982,0.0002478097752506673,9.586739932706827e-17,965.5553218057343,1.005675966507966e-09,0.0007604979735045558
540.0095448871886,195611.72463203917,0.0002514793423467258,9.965097741897651e-17,958.8456320891407,1.0950529802439563e-09,0.0007530113735998866
