Time,MSD
0.0,0.0
0.1,0.9218563165536958
0.2,1.1389946069804646
0.30000000000000004,1.379322136201747
0.4,1.5296397132483441
0.5,1.7373793333536955
0.6000000000000001,1.6330629934003313
0.7000000000000001,1.7306479045494427
0.8,1.7349304583013623
0.9,1.6527369885111893
1.0,1.6532629749195058
1.1,1.825588300274734
1.2000000000000002,1.9719294793812552
1.3,2.5517773375140256
1.4000000000000001,3.251635181633491
1.5,3.288818653014823
1.6,3.2845804144826083
1.7000000000000002,3.4145831776819375
1.8,3.561598776620116
1.9000000000000001,3.9623867596469
2.0,4.2077447686831695
2.1,4.394486920491883
2.2,4.747501502937008
2.3000000000000003,5.2317502892932195
2.4000000000000004,5.5305709392900075
2.5,5.973322759061992
2.6,6.272733607221266
2.7,6.589936746062853
2.8000000000000003,6.89862119556489
2.9000000000000004,7.180135459495889
3.0,7.257703300467497
3.1,7.880853377215947
3.2,8.250566931905238
3.3000000000000003,8.57541993062709
3.4000000000000004,8.410860745510057
3.5,8.276322669790064
3.6,8.856915185028194
3.7,8.906948449616158
3.8000000000000003,9.220308523760847
3.9000000000000004,9.80194028872848
4.0,10.0724316865573
4.1000000000000005,10.523045119843745
4.2,10.270939321384477
4.3,10.479864756723687
4.4,10.802384717948378
4.5,10.602734680784232
4.6000000000000005,10.64299527464057
4.7,10.639430622895752
4.800000000000001,11.792856460448007
4.9,12.152611445905542
5.0,12.371775490937502
5.1000000000000005,12.877785557426849
5.2,13.158051526180026
5.300000000000001,14.419077007087148
5.4,14.31669824135893
5.5,14.123193465124707
5.6000000000000005,14.781300262887944
5.7,15.043405300157874
5.800000000000001,15.202911096247599
5.9,14.828727697231722
6.0,15.302030112192485
6.1000000000000005,15.390476012073394
6.2,15.275861770604545
6.300000000000001,15.58637733103265
6.4,15.841437217558218
6.5,16.34382007540044
6.6000000000000005,16.4966674538183
6.7,16.233514181685823
6.800000000000001,16.155849286468904
6.9,15.635662788792578
7.0,15.984057592593429
7.1000000000000005,16.561409422614407
7.2,17.721001450929634
7.300000000000001,17.66278089751923
7.4,17.896145868535815
7.5,18.075305193539958
7.6000000000000005,18.919018398465056
7.7,18.950086234379132
7.800000000000001,19.1569126371996
7.9,19.353668345677264
8.0,19.670540899302093
8.1,19.417490150630666
8.200000000000001,19.52253248786597
8.3,19.58504352206806
8.4,19.144062683585346
8.5,19.42703892023776
8.6,19.733353197794298
8.700000000000001,20.43116508053595
8.8,19.542592277254613
8.9,20.164647910171265
9.0,20.222450888827506
9.1,20.53413189195562
9.200000000000001,20.92972928533127
9.3,21.294732951891138
9.4,21.02818438036648
9.5,20.81666977956458
9.600000000000001,21.64301661440447
9.700000000000001,21.542804119739557
9.8,21.77678377034735
9.9,22.39504238856583
10.0,22.108011828304075
10.100000000000001,22.008585623929662
10.200000000000001,22.450106852861182
10.3,22.268074074925426
10.4,22.30111100476027
10.5,22.57166041804835
10.600000000000001,23.50446483532669
10.700000000000001,22.58076581384383
10.8,23.177349757999778
10.9,23.590845413231104
11.0,25.565423423539514
11.100000000000001,25.29970765916489
11.200000000000001,25.849049932857195
11.3,26.160376984828577
11.4,26.106301692259617
11.5,26.029823031146027
11.600000000000001,26.19970140866255
11.700000000000001,27.107949476540586
11.8,26.344743616233547
11.9,26.677088331516785
12.0,27.060113315378885
12.100000000000001,26.84453149179353
12.200000000000001,27.138713815748385
12.3,27.76704247974474
12.4,27.692987158771682
12.5,28.18503041095769
12.600000000000001,28.773324185360718
12.700000000000001,28.894447583112726
12.8,29.248882361089667
12.9,29.624133429004207
13.0,30.00047818980164
13.100000000000001,29.489956871843432
13.200000000000001,29.60740913584044
13.3,29.681410421202784
13.4,29.875719507264137
13.5,29.793565359088873
13.600000000000001,30.013252212541172
13.700000000000001,30.863372839362814
13.8,30.513107079480065
13.9,30.991220949555913
14.0,30.44795133683844
14.100000000000001,30.22227478293068
14.200000000000001,30.151998319111684
14.3,30.11347735215534
14.4,31.09061116015326
14.5,30.982806282231405
14.600000000000001,31.041270155407855
14.700000000000001,31.002300158578688
14.8,31.561740695229982
14.9,31.221852801034625
15.0,30.833859879028285
15.100000000000001,31.39936099429977
15.200000000000001,31.193914201233937
15.3,31.24744162607708
15.4,32.09941387515246
15.5,31.98744433307512
15.600000000000001,32.199662238188424
15.700000000000001,32.712390611402874
15.8,32.2344930021442
15.9,32.661204377295775
16.0,32.95062734025127
16.1,32.0162941395943
16.2,32.884725641731
16.3,32.70717352346554
16.400000000000002,33.174250511964665
16.5,33.73194290517325
16.6,34.47938988960214
16.7,34.105796493031505
16.8,33.514736303424584
16.900000000000002,34.906326407515984
17.0,35.995674477164506
17.1,36.94720065149474
17.2,36.070283221763766
17.3,35.80837225826526
17.400000000000002,35.9483574855359
17.5,36.60346608280988
17.6,36.155068013073944
17.7,35.71679407414329
17.8,36.7560525100484
17.900000000000002,35.777567272663596
18.0,36.23744183256269
18.1,36.567325821693466
18.2,36.450232365103986
18.3,36.683390416081636
18.400000000000002,36.7986072013127
18.5,36.79206573658045
18.6,36.80088484219273
18.7,37.02622453255075
18.8,37.08406758501031
18.900000000000002,37.309523327646
19.0,37.561395234784236
19.1,36.823355352140226
19.200000000000003,36.22010350565167
19.3,37.47698394525857
19.400000000000002,38.598026357154716
19.5,37.760345126073
19.6,37.90865063959081
19.700000000000003,38.86862424602122
19.8,38.947370369705375
19.900000000000002,38.67338092169752
20.0,40.76926459725506
20.1,40.653363551407445
20.200000000000003,40.46827568574137
20.3,40.56451942761993
20.400000000000002,40.94957549037555
20.5,39.91281736536556
