,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0,838862.0
mean,3.3554439999980914e-08,16777219.999990463,413.40987504594597,1611.0000646449455,5704.400082627628,4927.952944948486,-389.9939339983929,2522.864623918478,6301.403108344662,44738.875,1.0685302000168633,-3424.172331138505
std,1.9372699607486806e-08,9686349.803743418,5.371949758272897,1245.7361179260047,70.99413317917569,64.03503460952783,30.157456884205804,12.525016218136896,69.20717855038205,0.0,1.686318757226317e-11,1243.9449928809506
min,0.0,0.0,344.82505,-4633.0441,4960.4857,4110.404,-526.95011,2462.2837,5427.9798,44738.875,1.0685302,-9774.0337
25%,1.6777220000000003e-08,8388610.0,409.7814225,771.13039,5656.391224999999,4884.7009,-410.45302000000004,2514.3522249999996,6254.552900000001,44738.875,1.0685302,-4262.081075
50%,3.3554440000000005e-08,16777220.0,413.39401499999997,1610.8581,5704.0044,4927.7639,-390.21241,2522.6698,6301.1329,44738.875,1.0685302,-3424.70745
75%,5.033166e-08,25165830.0,417.0189875,2452.10565,5752.028700000001,4970.974475,-369.725105,2531.1735,6347.880875000001,44738.875,1.0685302,-2584.751975
max,6.7108864e-08,33554432.0,438.60576,16009.82,6034.3115,5228.2944,-236.44305,2590.6364,6626.9765,44738.875,1.0685302,11809.984
