,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,2500001.0,2500001.0,2500001.0,2500001.0,2500001.0,2500001.0,2500001.0,2500001.0,2500001.0,2500001.0,2500001.0,2500001.0
mean,1e-07,50000000.0,380.2057422169752,98.5699032854603,4958.400730992592,4532.1510687424125,-377.67701043681603,2502.496345252583,5546.921328905067,46438.610999999706,1.0294201,-4362.695006726163
std,5.7735061559975047e-08,28867530.780011594,4.910199800127471,1104.8451423287104,59.91570615598236,58.53085526821618,26.57372114579826,11.250713054043466,59.05687190671098,3.0532252561998875e-06,1.1162184522017558e-12,1103.812426560757
min,0.0,0.0,344.93695,-26171.196,4663.9898,4111.7379,-647.60531,2452.0052,5264.5543,46438.611,1.0294201,-30218.624
25%,5.0000000000000004e-08,25000000.0,376.8832,-646.86902,4917.8548,4492.5455,-395.69842,2494.8301,5506.9305,46438.611,1.0294201,-5107.7488
50%,1.0000000000000001e-07,50000000.0,380.18267,98.722618,4958.1175,4531.8761,-377.86717,2502.3732,5546.6319,46438.611,1.0294201,-4362.3814
75%,1.5000000000000002e-07,75000000.0,383.50762,844.51593,4998.6821,4571.5103,-359.84804,2510.0253,5586.6047,46438.611,1.0294201,-3617.4644
max,2.0000000000000002e-07,100000000.0,406.83665,5330.2479,5255.439,4849.5984,-234.7326,2560.185,6072.3676,46438.611,1.0294201,840.62624
