,Time,Step,Temp,Press,PotEng,KinEng,E_vdwl,E_coul,E_mol,Volume,Density,c_virial
count,34614.0,34614.0,34614.0,34614.0,34614.0,34614.0,34614.0,34614.0,34614.0,34614.0,34614.0,34614.0
mean,1.3845200000000003e-09,692260.0,330.7964804818851,-245.61694182276895,4663.050141463045,3943.179852923665,-440.7780232469515,2495.2729007106786,5328.946544363552,45755.947000021726,1.044778700000531,-4185.033387489022
std,7.993876356311759e-10,399693.81781558745,4.269570181025679,1090.1072178728605,56.14153370202241,50.894383771241706,25.55845042522631,10.247270335643677,55.74930826554871,2.172632327544146e-08,5.311383673416206e-13,1088.7492625442462
min,0.0,0.0,313.11453,-9709.3263,4441.7192,3732.4064,-537.4962,2453.1497,5116.1341,45755.947,1.0447787,-13814.679
25%,6.9226e-10,346130.0,327.91152750000003,-979.154075,4624.888575000001,3908.7905250000003,-457.95559749999995,2488.211225,5290.919425,45755.947,1.0447787,-4919.6533500000005
50%,1.38452e-09,692260.0,330.78862000000004,-242.043495,4662.987499999999,3943.0861999999997,-440.96061,2495.0357000000004,5328.67115,45755.947,1.0447787,-4179.088400000001
75%,2.0767800000000003e-09,1038390.0,333.6781975,489.398505,4700.426425000001,3977.53065,-423.60532750000004,2502.2398000000003,5366.2419,45755.947,1.0447787,-3451.590625
max,2.76904e-09,1384520.0,348.97437,5239.7934,4976.8887,4159.865,-333.61348,2536.7989,5702.1468,45755.947,1.0447787,1239.445
